gvkey,datadate,fyear,tic,conm,revt,state
002558,20191231,2019,CNA,CNA FINANCIAL CORP,10587.0000,IL
002573,20190930,2019,CSPI,CSP INC,79.0610,MA
002574,20191231,2019,CSX,CSX CORP,11937.0000,FL
002577,20191231,2019,CTS,CTS CORP,468.9990,IL
002578,20191231,2019,TLS,TELOS CORP/MD,159.2180,VA
002581,20191231,2019,CVV,CVD EQUIPMENT CORP,19.6470,NY
002593,20190930,2019,CBT,CABOT CORP,3337.0000,MA
002596,20190630,2019,CACI,CACI INTL INC  -CL A,4986.3410,VA
002615,20200229,2019,CAMP,CALAMP CORP,366.1070,CA
002620,20191231,2019,0176A,MUFG AMERICAS HOLDINGS CORP,8254.0000,NY
002620,20191231,2019,0176A,MUFG AMERICAS HOLDINGS CORP,8254.0000,NY
002628,20191231,2019,CWT,CALIFORNIA WATER SERVICE GP,714.5570,CA
002663,20190731,2019,CPB,CAMPBELL SOUP CO,8107.0000,NJ
002675,20191231,2019,MLFNF,MAPLE LEAF FOODS INC,3941.5450,ON
002696,20191231,2019,CNI,CANADIAN NATIONAL RAILWAY CO,14917.0000,QC
002698,20191231,2019,CP,CANADIAN PACIFIC RAILWAY LTD,7792.0000,AB
002703,20191231,2019,CDNAF,CANADIAN TIRE CORP  -CL A,14534.4000,ON
002710,20200229,2019,STZ,CONSTELLATION BRANDS,8343.5000,NY
002735,20191231,2019,CPTP,CAPITAL PROPERTIES INC,5.1130,RI
002751,20190630,2019,CAH,CARDINAL HEALTH INC,145534.0000,OH
002771,20191231,2019,CSL,CARLISLE COS INC,4811.6000,AZ
002777,20191231,2019,ASWRF,GUNGNIR RESOURCES INC,0.0000,BC
002783,20191231,2019,DUK8,PROGRESS ENERGY INC,11202.0000,NC
002787,20190630,2019,CRS,CARPENTER TECHNOLOGY CORP,2380.2000,PA
002807,20200430,2019,CASY,CASEYS GENERAL STORES INC,8112.2960,IA
002811,20191231,2019,CTAM,CASTLE (A M) & CO,559.5910,IL
002817,20191231,2019,CAT,CATERPILLAR INC,53800.0000,IL
002818,20200131,2019,CATO,CATO CORP  -CL A,825.3350,NC
002820,20200331,2019,CVCO,CAVCO INDUSTRIES INC,1061.7740,AZ
002829,20191031,2019,RFIL,R F INDUSTRIES LTD,55.3250,CA
002849,20191231,2019,BBVA1,BBVA COMPASS BANCSHARES INC,4694.3850,TX
002849,20191231,2019,BBVA1,BBVA COMPASS BANCSHARES INC,4694.3850,TX
002884,20191231,2019,LUMN,LUMEN TECHNOLOGIES INC,22401.0000,LA
002940,20191231,2019,MGLN,MAGELLAN HEALTH INC,7159.4230,AZ
002942,20190731,2019,CMD,CANTEL MEDICAL CORP,918.1550,NJ
002960,20191231,2019,CHE,CHEMED CORP,1938.5550,OH
002968,20191231,2019,JPM,JPMORGAN CHASE & CO,142422.0000,NY
002968,20191231,2019,JPM,JPMORGAN CHASE & CO,142422.0000,NY
002986,20191231,2019,CPK,CHESAPEAKE UTILITIES CORP,479.6040,DE
002990,20191231,2019,CLSN,CELSION CORP,0.5000,NJ
002991,20191231,2019,CVX,CHEVRON CORP,139865.0000,CA
002999,20191231,2019,CVR,CHICAGO RIVET & MACHINE CO,32.8730,IL
003007,20190630,2019,EAT,BRINKER INTL INC,3217.9000,TX
003026,20191231,2019,CHD,CHURCH & DWIGHT INC,4357.7000,NJ
003028,20191231,2019,CHDN,CHURCHILL DOWNS INC,1329.7000,KY
003036,20191231,2019,CBB,CINCINNATI BELL INC,1536.7000,OH
003039,20191231,2019,CIN1,DUKE ENERGY OHIO INC,1940.0000,OH
003062,20200531,2019,CTAS,CINTAS CORP,7085.1200,OH
003105,20191231,2019,IHRT,IHEARTMEDIA INC,3683.5270,TX
003107,20191231,2019,CLF,CLEVELAND-CLIFFS INC,1989.9000,OH
003121,20190630,2019,CLX,CLOROX CO/DE,6214.0000,CA
003138,20191231,2019,COKE,COCA COLA CONSOLIDATED INC,4826.5490,NC
003144,20191231,2019,KO,COCA-COLA CO,37266.0000,GA
003153,20191231,2019,CDE,COEUR MINING INC,711.5020,IL
003157,20190930,2019,COHR,COHERENT INC,1430.6400,CA
003158,20191231,2019,COHU,COHU INC,583.3290,CA
003170,20191231,2019,CL,COLGATE-PALMOLIVE CO,15693.0000,NY
003184,20191231,2019,CCOM,CCOM GROUP INC,113.7010,NJ
003198,20191231,2019,CGP1,COLORADO INTERSTATE GAS CO,371.0000,TX
003203,20190831,2019,CCF,CHASE CORP,281.3510,MA
003226,20191231,2019,CMCSA,COMCAST CORP,108942.0000,PA
003231,20191231,2019,CMA,COMERICA INC,3773.0000,TX
003231,20191231,2019,CMA,COMERICA INC,3817.0000,TX
003238,20191231,2019,CBSH,COMMERCE BANCSHARES INC,1439.1140,MO
003238,20191231,2019,CBSH,COMMERCE BANCSHARES INC,1439.1140,MO
003243,20191231,2019,C,CITIGROUP INC,103449.0000,NY
003243,20191231,2019,C,CITIGROUP INC,103449.0000,NY
003246,20190831,2019,CMC,COMMERCIAL METALS,5829.0020,TX
003275,20191231,2019,JCS,COMMUNICATIONS SYSTEMS INC,50.9060,MN
003278,20191231,2019,CAR,AVIS BUDGET GROUP INC,9172.0000,NJ
003336,20200331,2019,DXC,DXC TECHNOLOGY CO,19577.0000,VA
003342,20191231,2019,CTG,COMPUTER TASK GROUP INC,394.1700,NY
003358,20190731,2019,CMTL,COMTECH TELECOMMUN,671.7970,NY
003362,20200531,2019,CAG,CONAGRA BRANDS INC,11054.4000,IL
003369,20190630,2019,RAVE,RAVE RESTAURANT GROUP INC,12.3190,TX
003382,20191231,2019,SSTK,SHUTTERSTOCK INC,650.5230,NY
003392,20191231,2019,NU1,CONNECTICUT LIGHT & POWER CO,3232.5510,CT
003410,20191231,2019,TCI,TRANSCONTINENTAL RLTY INVS,64.8190,TX
003410,20191231,2019,TCI,TRANSCONTINENTAL RLTY INVS,80.5120,TX
003413,20191231,2019,ED,CONSOLIDATED EDISON INC,12574.0000,NY
003424,20191231,2019,BH,BIGLARI HOLDINGS INC,668.8380,TX
003429,20191231,2019,CTO,CTO REALTY GROWTH INC,44.9410,FL
003429,20191231,2019,CTO,CTO REALTY GROWTH INC,67.2630,FL
003439,20191231,2019,CMS,CMS ENERGY CORP,6845.0000,MI
003465,20191231,2019,CUO,CONTINENTAL MATERIALS CORP,113.2760,IL
003469,20191231,2019,CLR,CONTINENTAL RESOURCES INC,4631.9470,OK
003502,20191231,2019,CTB,COOPER TIRE & RUBBER CO,2752.6390,OH
003504,20191031,2019,COO,COOPER COS INC (THE),2653.4000,CA
003505,20191231,2019,TAP,MOLSON COORS BEVERAGE CO,10579.4000,CO
003516,20190630,2019,CBYDF,CORBY SPIRIT AND WINE LTD,149.9380,ON
003532,20191231,2019,GLW,CORNING INC,11503.0000,NY
003533,20190930,2019,CNIG,CORNING NATURAL GAS HLDG CP,35.5400,NY
003562,20191231,2019,CUZ,COUSINS PROPERTIES INC,670.1810,GA
003562,20191231,2019,CUZ,COUSINS PROPERTIES INC,668.7340,GA
003570,20190731,2019,CBRL,CRACKER BARREL OLD CTRY STOR,3071.9510,TN
003580,20191231,2019,CR,CRANE CO,3283.1000,CT
003581,20191231,2019,CRD.A,CRAWFORD & CO,1047.6270,GA
003591,20191231,2019,AGC1,SPRINGLEAF FINANCE CORP,4791.0000,IN
003592,20191231,2019,OMF,ONEMAIN HOLDINGS INC,4784.0000,IN
003619,20191231,2019,CCK,CROWN HOLDINGS INC,11665.0000,PA
003622,20200331,2019,CRWS,CROWN CRAFTS INC,73.3960,LA
003639,20190930,2019,CUB,CUBIC CORP,1496.4750,CA
003643,20191231,2019,CFR,CULLEN/FROST BANKERS INC,1490.9870,TX
003643,20191231,2019,CFR,CULLEN/FROST BANKERS INC,1490.9870,TX
003647,20200430,2019,CULP,CULP INC,256.1660,NC
003650,20191231,2019,CMI,CUMMINS INC,23571.0000,IN
003662,20191231,2019,CW,CURTISS-WRIGHT CORP,2487.9610,NC
003691,20191231,2019,GTBP,GT BIOPHARMA INC,0.0000,CA
003708,20191231,2019,WEN,WENDY'S CO,1709.0020,OH
003734,20191231,2019,DAN,DANA INC,8620.0000,OH
003735,20191231,2019,DHR,DANAHER CORP,17911.1000,DC
003761,20191231,2019,DAIO,DATA I/O CORP,21.5680,WA
003801,20191231,2019,7183B,DAVEY TREE EXPERT CO,1143.7200,OH
003806,20191231,2019,DWSN,DAWSON GEOPHYSICAL CO,145.7730,TX
003813,20200131,2019,TGT,TARGET CORP,78112.0000,MN
003814,20191231,2019,AES5,DPL INC,763.3000,OH
003835,20191031,2019,DE,DEERE & CO,39258.0000,IL
003836,20191031,2019,DE1,DEERE (JOHN) CAPITAL CORP,2890.3000,NV
003851,20191231,2019,DAL,DELTA AIR LINES INC,47007.0000,GA
003863,20191231,2019,DLX,DELUXE CORP,2008.7150,MN
003897,20191231,2019,DTE,DTE ENERGY CO,12669.0000,MI
003905,20190630,2019,ATGE,ADTALEM GLOBAL EDUCATION INC,1239.6870,IL
003908,20190630,2019,DEWY,DEWEY ELECTRONICS CORP,5.6890,NJ
003937,20200331,2019,PYYX,PYXUS INTERNATIONAL INC,1527.2610,NC
003946,20191231,2019,DBD,DIEBOLD NIXDORF INC,4408.7000,OH
003962,20191231,2019,NSYS,NORTECH SYSTEMS INC,116.3330,MN
003964,20200131,2019,DDS,DILLARDS INC  -CL A,6343.2110,AR
003969,20191231,2019,DIOD,DIODES INC,1249.1300,TX
003980,20190930,2019,DIS,DISNEY (WALT) CO,69570.0000,CA
004001,20191231,2019,DXYN,DIXIE GROUP INC,374.5820,GA
004016,20200131,2019,DG,DOLLAR GENERAL CORP,27753.9730,TN
004019,20191231,2019,WFSTF,WESTERN FOREST PRODUCTS INC,807.7000,BC
004029,20191231,2019,D,DOMINION ENERGY INC,16572.0000,VA
004036,20190731,2019,DCI,DONALDSON CO INC,2851.4000,MN
004040,20191231,2019,RRD,DONNELLEY (R R) & SONS CO,6276.2000,IL
004045,20191231,2019,DMLP,DORCHESTER MINERALS  -LP,78.7990,TX
004058,20191231,2019,DOV,DOVER CORP,7136.3970,IL
004060,20191231,2019,DD,DUPONT DE NEMOURS INC,21512.0000,DE
004066,20191231,2019,OMC,OMNICOM GROUP,14953.7000,NY
004072,20190731,2019,ASNAQ,ASCENA RETAIL GROUP INC,5493.4000,NJ
004091,20191231,2019,DCO,DUCOMMUN INC,721.0880,CA
004093,20191231,2019,DUK,DUKE ENERGY CORP,25079.0000,NC
004094,20191231,2019,DNB,DUN & BRADSTREET HOLDNGS INC,1413.9000,NJ
004108,20191231,2019,FLS,FLOWSERVE CORP,3944.8500,TX
004115,20200131,2019,DY,DYCOM INDUSTRIES INC,3339.6820,FL
004124,20190630,2019,DYNT,DYNATRONICS CORP,62.5650,MN
004130,20190930,2019,DYSL,DYNASIL CORP OF AMERICA,43.7010,MA
004145,20191231,2019,PKI,PERKINELMER INC,2883.6730,MA
004186,20191231,2019,EML,EASTERN CO,251.7430,CT
004193,20191231,2019,EGP,EASTGROUP PROPERTIES,381.0710,MS
004193,20191231,2019,EGP,EASTGROUP PROPERTIES,331.5160,MS
004194,20191231,2019,KODK,EASTMAN KODAK CO,1242.0000,NY
004201,20191031,2019,EV,EATON VANCE CORP,1683.2520,MA
004201,20191031,2019,EV,EATON VANCE CORP,1805.4440,MA
004213,20191231,2019,ECL,ECOLAB INC,14906.3000,MN
004225,20200229,2019,EDUC,EDUCATIONAL DEVELOPMENT CORP,113.0120,OK
004241,20191231,2019,EE,EL PASO ELECTRIC CO,861.9940,TX
004275,20191231,2019,ELSE,ELECTRO-SENSORS INC,8.2580,MN
004292,20191231,2019,ETCIA,ELECTR TELE-COMMUNCTN,0.5280,WI
004321,20190930,2019,EMR,EMERSON ELECTRIC CO,18372.0000,MO
004322,20200331,2019,MSN,EMERSON RADIO CORP,6.2930,NJ
004367,20191231,2019,WFTLF,WEATHERFORD INTL PLC,5215.0000,TX
004383,20190930,2019,ATO,ATMOS ENERGY CORP,2901.8480,TX
004384,20191231,2019,MARA,MARATHON PATENT GROUP INC,1.1850,NV
004390,20200229,2019,EBF,ENNIS INC,438.4120,TX
004409,20191231,2019,ENZN,ENZON PHARMACEUTICALS INC,0.2070,NJ
004412,20191231,2019,VKSC,VISKASE COMPANIES INC,384.8720,IL
004415,20200229,2019,ETCC,ENVIRONMENTAL TECTONICS CORP,40.5800,PA
004418,20190731,2019,ENZ,ENZO BIOCHEM INC,81.1700,NY
004423,20191231,2019,EFX,EQUIFAX INC,3527.6000,GA
004430,20191231,2019,EQT,EQT CORP,4416.4840,PA
004448,20191231,2019,ESCA,ESCALADE INC,180.5410,IN
004450,20190630,2019,ESP,ESPEY MFG & ELECTRONICS CORP,36.4780,NY
004462,20191231,2019,NEU,NEWMARKET CORP,2190.2950,VA
004467,20191231,2019,ESCC,EVANS & SUTHERLAND CMP CORP,27.7160,UT
004485,20191231,2019,KINS,KINGSTONE COS INC,145.9050,NY
004485,20191231,2019,KINS,KINGSTONE COS INC,145.5630,NY
004494,20191231,2019,EXPD,EXPEDITORS INTL WASH INC,8175.4260,WA
004497,20191231,2019,BOOM,DMC GLOBAL INC,397.5500,CO
004498,20190930,2019,IIIN,INSTEEL INDUSTRIES,455.7130,NC
004503,20191231,2019,XOM,EXXON MOBIL CORP,255583.0000,TX
004510,20191231,2019,FMC,FMC CORP,4609.8000,PA
004517,20191231,2019,NEE,NEXTERA ENERGY INC,19204.0000,FL
004579,20190630,2019,FARM,FARMER BROTHERS CO,595.9420,TX
004598,20200531,2019,FDX,FEDEX CORP,69217.0000,TN
004599,20191231,2019,RUSMF,RUSSEL METALS INC,3675.9000,ON
004601,20191231,2019,FNMA,FEDERAL NATIONAL MORTGA ASSN,120304.0000,DC
004601,20191231,2019,FNMA,FEDERAL NATIONAL MORTGA ASSN,122518.0000,DC
004605,20191231,2019,FRT,FEDERAL REALTY INVESTMENT TR,1071.9220,MD
004605,20191231,2019,FRT,FEDERAL REALTY INVESTMENT TR,935.0420,MD
004607,20190630,2019,FSCR,FEDERAL SCREW WORKS,73.3530,MI
004608,20191231,2019,FSS,FEDERAL SIGNAL CORP,1221.3000,IL
004611,20200131,2019,M,MACY'S INC,25331.0000,NY
004622,20191231,2019,FOE,FERRO CORP,1018.3660,OH
004632,20191231,2019,CLBS,CALADRIUS BIOSCIENCES INC,0.0000,NJ
004640,20191231,2019,FITB,FIFTH THIRD BANCORP,8900.0000,OH
004640,20191231,2019,FITB,FIFTH THIRD BANCORP,8900.0000,OH
004669,20191231,2019,FINGF,FINNING INTERNATIONAL INC,7817.0000,BC
004674,20191231,2019,RF,REGIONS FINANCIAL CORP,6755.0000,AL
004674,20191231,2019,RF,REGIONS FINANCIAL CORP,6755.0000,AL
004685,20191231,2019,TRMK,TRUSTMARK CORP,697.5370,MS
004685,20191231,2019,TRMK,TRUSTMARK CORP,697.5370,MS
004690,20191231,2019,FCNCA,FIRST CITIZENS BANCSH  -CL A,1819.8720,NC
004690,20191231,2019,FCNCA,FIRST CITIZENS BANCSH  -CL A,1819.8720,NC
004695,20200331,2019,FCIC,FCCC INC,0.0000,IN
004699,20191231,2019,MTB,M & T BANK CORP,6941.2720,NY
004699,20191231,2019,MTB,M & T BANK CORP,6941.2720,NY
004723,20191231,2019,USB,U S BANCORP,27325.0000,MN
004723,20191231,2019,USB,U S BANCORP,27325.0000,MN
004737,20191231,2019,FHN,FIRST HORIZON CORP,2278.3620,TN
004737,20191231,2019,FHN,FIRST HORIZON CORP,2278.3620,TN
004759,20190930,2019,BDL,FLANIGANS ENTERPRISES INC,116.2020,FL
004763,20191231,2019,MALJF,MAGELLAN AEROSPACE CORP,1016.2190,ON
004771,20190630,2019,FLXS,FLEXSTEEL INDUSTRIES INC,443.5880,IA
004798,20191231,2019,FPL1,FLORIDA POWER & LIGHT CO,12192.0000,FL
004799,20191231,2019,DUK9,DUKE ENERGY FLORIDA INC,5231.0000,FL
004809,20191231,2019,FLO,FLOWERS FOODS INC,4123.9740,GA
004818,20191231,2019,FLR,FLUOR CORP,14348.0180,TX
004826,20190630,2019,FONR,FONAR CORP,87.1930,NY
004839,20191231,2019,F,FORD MOTOR CO,155900.0000,MI
004840,20191231,2019,F1,FORD MOTOR CREDIT CO LLC,12767.0000,MI
004860,20191231,2019,FSTR,FOSTER (LB) CO,655.0570,PA
004881,20191231,2019,FELE,FRANKLIN ELECTRIC CO INC,1314.5780,IN
004885,20190930,2019,BEN,FRANKLIN RESOURCES INC,5774.5000,CA
004885,20190930,2019,BEN,FRANKLIN RESOURCES INC,5876.5000,CA
004900,20200430,2019,FEIM,FREQUENCY ELECTRONICS INC,41.5070,NY
004903,20200331,2019,FRD,FRIEDMAN INDUSTRIES INC,142.1020,TX
004926,20191130,2019,FUL,FULLER (H. B.) CO,2897.0000,MN
004941,20191231,2019,GATX,GATX CORP,1393.8000,IL
004973,20191231,2019,AJG,ARTHUR J GALLAGHER & CO,7195.0000,IL
004988,20191231,2019,TGNA,TEGNA INC,2299.4970,VA
004990,20200131,2019,GPS,GAP INC,16383.0000,CA
005018,20191231,2019,AJRD,AEROJET ROCKETDYNE HOLDINGS,1981.5000,CA
